"Date","Open","High","Low","Close","Adj Close","Volume"
"Jan 10, 2025","264.00","266.50","258.47","263.02","263.02","13,053,552"
"Jan 9, 2025","272.03","272.59","261.71","263.18","263.18","14,706,472"
"Jan 8, 2025","266.45","273.50","265.75","271.33","271.33","42,237,794"
"Jan 7, 2025","259.15","267.40","258.05","263.49","263.49","52,956,766"
"Jan 6, 2025","259.11","259.50","251.45","254.36","254.36","19,265,884"
"Jan 3, 2025","248.45","262.75","247.99","258.89","258.89","49,760,410"
"Jan 2, 2025","237.05","246.78","237.00","246.07","246.07","19,745,810"
"Jan 1, 2025","237.81","239.24","236.35","236.95","236.95","9,418,453"
"Dec 31, 2024","232.65","239.90","232.35","239.25","239.25","12,004,845"
"Dec 30, 2024","236.05","237.00","231.15","232.65","232.65","19,401,112"
"Dec 27, 2024","240.00","241.00","236.30","236.90","236.90","6,487,888"
"Dec 26, 2024","240.00","242.00","239.00","240.25","240.25","6,330,006"
"Dec 24, 2024","241.00","243.25","238.60","238.95","238.95","3,577,400"
"Dec 23, 2024","238.25","242.30","236.85","240.85","240.85","7,722,901"
"Dec 20, 2024","241.50","244.15","235.30","237.10","237.10","15,556,528"
"Dec 19, 2024","240.00","243.95","238.55","241.85","241.85","9,518,542"
"Dec 18, 2024","247.40","247.50","243.40","244.15","244.15","8,430,930"
"Dec 17, 2024","251.75","252.45","246.50","247.40","247.40","10,066,884"
"Dec 16, 2024","254.00","256.30","251.20","251.80","251.80","7,283,872"
"Dec 13, 2024","253.00","256.80","249.50","254.25","254.25","11,143,128"
"Dec 12, 2024","258.00","258.60","253.60","254.05","254.05","7,123,877"
"Dec 11, 2024","257.50","258.70","255.65","256.60","256.60","5,353,032"
"Dec 10, 2024","257.65","258.75","254.50","256.90","256.90","11,318,782"
"Dec 9, 2024","260.05","261.35","257.70","258.90","258.90","6,800,856"
"Dec 6, 2024","260.80","263.00","259.55","260.05","260.05","8,783,386"
"Dec 5, 2024","260.70","263.25","256.90","261.30","261.30","12,896,743"
"Dec 4, 2024","263.85","264.30","260.00","260.70","260.70","10,713,838"
"Dec 3, 2024","260.40","264.70","258.85","262.35","262.35","15,345,326"
"Dec 2, 2024","255.50","258.30","252.70","257.55","257.55","13,677,959"
"Nov 29, 2024","253.80","258.65","252.25","256.70","256.70","11,476,347"
"Nov 28, 2024","255.00","257.40","251.20","252.20","252.20","14,202,863"
"Nov 27, 2024","255.00","255.50","250.55","254.30","254.30","11,689,970"
"Nov 26, 2024","256.95","258.25","252.55","254.25","254.25","9,242,451"
"Nov 25, 2024","248.50","260.50","247.95","257.90","257.90","31,973,671"
"Nov 22, 2024","244.80","246.95","243.50","245.60","245.60","9,637,581"
"Nov 21, 2024","248.00","248.00","240.80","242.15","242.15","16,189,440"
"Nov 19, 2024","6.00 Dividend"
"Nov 19, 2024","250.00","255.40","247.10","248.00","248.00","17,397,559"
"Nov 18, 2024","251.10","252.10","247.10","250.65","244.65","14,636,541"
"Nov 14, 2024","252.55","254.30","249.00","250.80","244.80","12,454,540"
"Nov 13, 2024","256.15","256.95","249.00","252.55","246.50","17,483,332"
"Nov 12, 2024","260.85","263.20","255.40","256.15","250.02","22,445,400"
"Nov 11, 2024","262.35","262.35","256.00","256.90","250.75","8,450,657"
"Nov 8, 2024","265.95","266.50","259.65","262.55","256.27","7,836,093"
"Nov 7, 2024","270.50","270.50","264.80","265.20","258.85","6,766,663"
"Nov 6, 2024","267.70","270.60","264.40","269.05","262.61","19,244,545"
"Nov 5, 2024","265.20","268.60","263.60","267.40","261.00","11,676,017"
"Nov 4, 2024","274.00","274.35","260.15","265.30","258.95","14,355,959"
"Nov 1, 2024","269.80","274.00","268.65","271.75","265.24","2,955,757"
"Oct 31, 2024","263.40","268.30","261.15","266.15","259.78","16,173,656"
"Oct 30, 2024","265.00","266.20","261.05","261.65","255.39","11,166,643"
"Oct 29, 2024","263.35","265.55","259.40","265.00","258.66","9,122,757"
"Oct 28, 2024","260.65","265.05","255.30","263.35","257.05","13,835,091"
"Oct 25, 2024","270.00","270.30","261.60","264.05","257.73","12,961,181"
"Oct 24, 2024","271.90","272.45","268.35","269.10","262.66","7,488,521"
"Oct 23, 2024","270.00","274.40","265.05","270.85","264.37","18,823,321"
"Oct 22, 2024","278.00","278.15","270.00","270.80","264.32","10,028,511"
"Oct 21, 2024","281.15","284.00","274.55","276.60","269.98","10,299,773"
"Oct 18, 2024","282.00","284.50","279.20","283.30","276.52","14,028,398"
"Oct 17, 2024","285.00","287.60","280.95","281.60","274.86","13,343,303"
"Oct 16, 2024","283.00","287.25","280.65","285.40","278.57","18,188,885"
"Oct 15, 2024","286.40","286.40","280.85","283.70","276.91","15,087,155"
"Oct 14, 2024","292.70","292.90","285.15","286.50","279.64","12,690,951"
"Oct 11, 2024","291.30","293.65","289.50","292.55","285.55","7,011,704"
"Oct 10, 2024","288.70","292.15","287.55","288.75","281.84","7,237,212"
"Oct 9, 2024","291.25","291.90","286.85","288.50","281.59","13,147,475"
"Oct 8, 2024","288.15","293.90","280.55","293.45","286.43","10,572,360"
"Oct 7, 2024","296.00","296.30","281.50","289.45","282.52","20,917,962"
"Oct 4, 2024","297.00","299.70","293.20","295.25","288.18","23,104,209"
"Oct 3, 2024","295.00","298.00","290.55","292.05","285.06","28,124,665"
"Oct 1, 2024","297.00","299.15","290.70","291.95","284.96","10,919,818"
"Sep 30, 2024","297.00","301.80","293.75","297.60","290.48","16,294,341"
